is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2024-04-25,16,58,0,2,0
2024-04-24,16,58,0,2,0
2024-04-23,16,57,0,2,0
2024-04-22,17,57,0,2,0
2024-04-21,17,55,0,2,0
2024-04-20,17,57,0,2,0
2024-04-19,17,56,0,2,0
2024-04-18,16,56,0,2,0
2024-04-17,16,55,0,2,0
2024-04-16,17,53,0,2,0
2024-04-15,17,53,0,2,0
2024-04-14,17,54,0,2,0
2024-04-13,17,53,0,2,0
2024-04-12,16,54,0,2,0
2024-04-11,16,57,0,2,0
2024-04-10,16,54,0,2,0
2024-04-09,16,55,0,2,0
2024-04-08,15,54,0,2,0
2024-04-07,15,54,0,2,0
2024-04-06,14,56,0,2,0
2024-04-05,14,56,0,2,0
2024-04-04,15,62,0,2,0
2024-04-03,16,60,0,2,0
2024-04-02,17,59,0,2,0
2024-04-01,12,64,0,2,0
2024-03-31,15,76,0,2,0
2024-03-30,15,81,0,2,0
2024-03-29,14,85,0,2,0
2024-03-28,14,84,0,2,0
2024-03-27,14,80,0,2,0
2024-03-26,14,79,0,2,0
2024-03-25,15,80,0,2,0
2024-03-24,15,78,0,2,0
2024-03-23,15,77,0,2,0
2024-03-22,16,81,0,1,0
2024-03-21,15,82,0,2,0
2024-03-20,15,83,0,2,0
2024-03-19,15,82,0,2,0
2024-03-18,15,81,0,2,0
2024-03-17,14,87,0,2,0
2024-03-16,14,87,0,2,0
2024-03-15,14,86,0,2,0
2024-03-14,14,88,0,2,0
2024-03-13,13,87,0,2,0
2024-03-12,13,85,0,2,0
2024-03-11,13,88,0,2,0
2024-03-10,12,86,0,2,0
2024-03-09,12,82,0,2,0
2024-03-08,13,79,0,2,0
2024-03-07,13,77,0,2,0
2024-03-06,13,78,0,2,0
2024-03-05,12,82,0,2,0
2024-03-04,12,81,0,2,0
2024-03-03,12,82,0,2,0
2024-03-02,11,80,0,2,0
2024-03-01,11,80,0,2,0
2024-02-29,10,83,0,2,0
2024-02-28,10,80,0,2,0
2024-02-27,10,81,0,2,0
2024-02-26,10,83,0,2,0
2024-02-25,10,84,0,2,0
2024-02-24,10,86,0,2,0
2024-02-23,10,82,0,2,0
2024-02-22,10,83,0,2,0
2024-02-21,10,86,0,2,0
2024-02-20,10,84,0,2,0
2024-02-19,11,84,0,2,0
2024-02-18,11,83,0,2,0
2024-02-17,11,83,0,2,0
2024-02-16,11,84,0,2,0
2024-02-15,11,84,0,2,0
2024-02-14,11,83,0,2,0
2024-02-13,11,84,0,2,0
2024-02-12,11,84,0,2,0
2024-02-11,11,88,0,2,0
2024-02-10,11,81,0,2,0
2024-02-09,11,84,0,2,0
2024-02-08,11,83,0,2,0
2024-02-07,12,85,0,2,0
2024-02-06,11,88,0,2,0
2024-02-05,11,89,0,2,0
2024-02-04,11,87,0,2,0
2024-02-03,11,88,0,2,0
2024-02-02,12,90,0,2,0
2024-02-01,12,90,0,2,0
2024-01-31,12,90,0,2,0
2024-01-30,12,87,0,2,0
2024-01-29,12,89,0,2,0
2024-01-28,12,88,0,2,0
2024-01-27,12,95,0,2,0
2024-01-26,12,97,0,2,0
2024-01-25,12,95,0,2,0
2024-01-24,12,96,0,2,0
2024-01-23,12,95,0,2,0
2024-01-22,12,97,0,2,0
2024-01-21,12,95,0,2,0
2024-01-20,12,96,0,2,0
2024-01-19,12,97,0,2,0
2024-01-18,12,93,0,2,0
2024-01-17,12,95,0,2,0
2024-01-16,13,97,0,2,0
2024-01-15,12,99,0,2,0
2024-01-14,12,96,0,2,0
2024-01-13,12,95,0,2,0
2024-01-12,12,93,0,2,0
2024-01-11,12,91,0,2,0
2024-01-10,12,90,0,2,0
2024-01-09,12,89,0,2,0
2024-01-08,13,90,0,2,0
2024-01-07,13,90,0,2,0
2024-01-06,13,91,0,2,0
2024-01-05,13,96,0,2,0
2024-01-04,13,96,0,2,0
2024-01-03,13,97,0,2,0
2024-01-02,13,95,0,2,0
2024-01-01,13,92,0,2,0
2023-12-31,14,96,0,2,0
2023-12-30,14,93,0,2,0
2023-12-29,14,92,0,2,0
2023-12-28,14,90,0,2,0
2023-12-27,14,89,0,2,0
2023-12-26,14,87,0,2,0
2023-12-25,13,86,0,2,0
2023-12-24,13,84,0,2,0
2023-12-23,13,91,0,2,0
2023-12-22,13,87,0,2,0
2023-12-21,13,86,0,2,0
2023-12-20,13,84,0,2,0
2023-12-19,13,83,0,2,0
2023-12-18,13,80,0,2,0
2023-12-17,13,84,0,2,0
