is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-06-20,4,2,2,4,3,10
2023-06-19,5,3,2,3,3,10
2023-06-18,3,2,3,1,3,10
2023-06-17,3,2,5,0,4,9
2023-06-16,1,4,4,0,5,9
2023-06-15,4,3,3,0,5,9
2023-06-14,4,4,1,0,4,9
2023-06-13,4,5,0,1,4,9
2023-06-12,5,5,1,1,2,9
2023-06-11,5,2,1,5,2,9
2023-06-10,8,1,2,5,2,9
2023-06-09,5,4,2,5,2,9
2023-06-08,5,6,3,5,2,9
2023-06-07,5,4,2,3,2,9
2023-06-06,7,4,3,2,3,8
2023-06-05,4,4,4,0,3,8
2023-06-04,2,5,5,0,3,8
2023-06-03,4,2,4,0,4,7
2023-06-02,3,4,3,0,2,7
2023-06-01,4,4,0,2,3,6
2023-05-31,7,5,0,2,3,6
2023-05-30,5,7,1,2,3,6
2023-05-29,10,1,1,3,3,6
2023-05-28,2,6,1,4,5,7
2023-05-27,8,3,0,4,6,6
2023-05-26,8,4,0,2,6,6
2023-05-25,7,1,2,1,6,6
2023-05-24,3,5,4,1,6,6
2023-05-23,3,3,6,2,6,6
2023-05-22,3,1,4,3,5,6
2023-05-21,1,4,2,4,5,6
2023-05-20,3,4,0,4,4,6
2023-05-19,6,4,0,5,3,6
2023-05-18,5,12,1,5,4,6
2023-05-17,13,2,3,3,2,6
2023-05-16,5,1,4,5,2,6
2023-05-15,5,2,5,5,2,6
2023-05-14,3,1,3,5,2,6
2023-05-13,2,3,2,5,1,6
2023-05-12,0,5,3,3,0,6
2023-05-11,4,2,5,4,0,6
2023-05-10,3,2,4,2,0,6
2023-05-09,2,4,5,2,0,6
2023-05-08,3,5,3,3,0,6
2023-05-07,5,5,3,4,0,6
2023-05-06,3,5,1,3,0,6
2023-05-05,7,2,1,3,0,6
2023-05-04,5,3,2,2,1,7
2023-05-03,2,1,4,2,1,7
2023-05-02,5,1,3,0,1,8
2023-05-01,3,2,3,0,0,8
2023-04-30,2,6,2,1,0,8
2023-04-29,4,4,2,1,0,8
2023-04-28,5,1,0,2,0,8
2023-04-27,4,5,0,2,0,9
2023-04-26,1,5,0,2,0,9
2023-04-25,8,0,2,2,0,9
2023-04-24,4,2,2,4,1,8
2023-04-23,4,3,2,2,1,8
2023-04-22,3,5,4,1,1,8
2023-04-21,6,2,4,0,1,8
2023-04-20,5,1,5,0,2,7
2023-04-19,2,3,4,0,2,8
2023-04-18,3,3,1,0,2,8
2023-04-17,2,5,0,0,2,8
2023-04-16,3,4,0,0,2,8
2023-04-15,4,1,1,0,3,8
2023-04-14,3,1,1,0,3,8
2023-04-13,0,3,2,0,3,8
2023-04-12,4,0,0,0,3,8
2023-04-11,4,4,0,1,3,8
2023-04-10,3,6,0,1,3,8
2023-04-09,6,2,0,1,1,8
2023-04-08,2,2,0,3,1,8
2023-04-07,3,2,0,2,1,8
2023-04-06,4,0,1,2,1,8
2023-04-05,5,2,4,2,0,8
2023-04-04,3,1,4,3,0,8
2023-04-03,2,2,0,3,0,9
2023-04-02,0,7,0,1,0,9
2023-04-01,2,5,2,1,0,9
2023-03-31,5,1,2,1,0,9
2023-03-30,6,0,3,1,2,9
2023-03-29,1,0,0,0,1,9
2023-03-28,0,4,1,1,0,9
2023-03-27,0,4,1,2,0,9
2023-03-26,4,0,1,2,0,9
2023-03-25,0,1,1,3,0,10
2023-03-24,0,3,0,2,0,10
2023-03-23,1,3,1,2,0,10
2023-03-22,3,1,1,1,0,10
2023-03-21,3,0,2,0,0,11
2023-03-20,2,0,2,0,0,11
2023-03-19,1,2,2,0,1,10
2023-03-18,2,2,1,0,1,10
2023-03-17,4,1,0,0,1,10
2023-03-16,2,2,0,0,1,10
2023-03-15,3,1,0,1,3,13
2023-03-14,8,1,0,2,2,15
2023-03-13,1,2,0,3,2,15
2023-03-12,3,1,0,3,2,15
2023-03-11,2,2,0,1,2,15
2023-03-10,4,0,2,1,3,14
2023-03-09,3,0,2,1,3,14
2023-03-08,1,0,3,1,3,14
2023-03-07,2,0,0,0,3,14
2023-03-06,0,5,1,0,3,14
2023-03-05,2,3,1,0,3,14
2023-03-04,5,0,1,0,2,14
2023-03-03,1,2,0,1,4,15
2023-03-02,1,2,0,1,4,15
2023-03-01,3,2,0,1,4,15
2023-02-28,5,0,0,1,2,15
2023-02-27,1,3,1,3,2,15
2023-02-26,2,1,1,3,2,15
2023-02-25,2,2,1,2,2,15
2023-02-24,3,2,2,2,2,15
2023-02-23,1,4,1,2,2,14
2023-02-22,3,2,2,3,3,13
2023-02-21,1,1,2,1,3,13
2023-02-20,2,1,2,1,4,12
2023-02-19,0,3,2,1,3,12
2023-02-18,2,2,2,2,3,12
2023-02-17,4,0,0,2,4,11
2023-02-16,1,3,0,2,4,11
2023-02-15,1,2,1,2,5,10
2023-02-14,5,0,2,3,5,10
2023-02-13,1,2,2,3,8,11
2023-02-12,3,0,1,1,9,10
2023-02-11,0,1,2,1,9,10
2023-02-10,1,3,2,1,10,9
2023-02-02,0,0,0,0,0,0
