is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2020-07-29,64,140,5,8,0,19,11,0
2020-07-28,58,137,5,5,0,19,9,0
2020-07-27,57,135,5,7,0,17,9,0
2020-07-26,62,132,4,5,0,18,4,0
2020-07-25,62,126,4,5,0,18,4,0
2020-07-24,69,127,4,6,0,18,18,0
2020-07-23,70,120,4,6,0,19,21,0
2020-07-22,71,115,4,4,0,18,23,0
2020-07-21,72,115,5,5,0,18,21,0
2020-07-20,71,121,5,5,0,18,11,0
2020-07-19,74,110,5,6,0,18,11,0
2020-07-18,74,104,5,6,0,18,17,0
2020-07-17,77,116,6,3,0,19,14,0
2020-07-16,78,128,5,3,0,20,26,0
2020-07-15,73,136,7,3,0,19,8,0
2020-07-14,65,148,6,3,0,18,26,0
2020-07-13,62,139,6,3,0,18,26,0
2020-07-12,64,147,6,3,0,18,19,0
2020-07-11,61,149,7,3,0,18,29,0
2020-07-10,66,147,7,3,0,18,32,0
2020-07-09,66,148,8,3,0,17,17,0
2020-07-08,62,145,8,1,0,18,9,0
2020-07-07,63,140,8,2,0,18,17,0
2020-07-06,61,135,8,1,0,18,19,0
2020-07-05,61,132,8,0,0,18,9,0
2020-07-04,63,125,8,0,0,17,18,0
2020-07-03,63,119,8,1,0,18,14,0
2020-07-02,68,105,8,1,0,16,34,0
2020-07-01,66,108,8,2,0,17,38,0
2020-06-30,64,114,9,2,0,16,24,0
2020-06-29,63,110,9,5,0,15,19,0
2020-06-28,62,114,10,4,0,15,19,0
2020-06-27,65,100,9,4,0,16,25,0
2020-06-26,66,108,10,2,0,18,30,0
2020-06-25,66,115,9,3,0,19,17,0
2020-06-24,70,111,9,3,0,16,25,0
2020-06-23,64,114,8,2,0,17,28,0
2020-06-22,62,115,8,3,0,17,26,0
2020-06-21,63,114,7,2,0,18,23,0
2020-06-20,65,110,7,2,0,20,46,0
2020-06-19,63,121,9,2,0,23,67,0
2020-06-18,61,120,9,2,0,22,59,0
2020-06-17,60,112,9,3,0,21,51,0
2020-06-16,58,132,9,2,0,21,34,0
2020-06-15,62,133,9,1,0,21,37,0
2020-06-14,60,125,7,2,0,21,35,0
2020-06-13,60,122,7,2,0,22,35,0
2020-06-12,57,122,8,2,0,20,36,0
2020-06-11,62,128,7,2,0,21,49,0
2020-06-10,63,133,6,2,0,22,41,0
2020-06-09,69,131,5,2,0,22,33,0
2020-06-08,66,138,5,1,0,20,24,0
2020-06-07,65,139,5,0,0,22,25,0
2020-06-06,61,134,6,0,0,22,23,0
2020-06-05,58,133,6,0,0,23,22,0
2020-06-04,59,123,6,1,0,23,19,0
2020-06-03,64,120,5,1,0,23,19,0
2020-06-02,64,116,6,2,0,23,25,0
2020-06-01,62,114,6,2,0,23,24,0
2020-05-31,65,105,6,2,0,24,29,0
2020-05-30,64,103,4,2,0,25,46,0
2020-05-29,60,113,4,2,0,24,58,0
2020-05-28,59,121,4,2,0,22,26,0
2020-05-27,60,123,4,1,0,22,20,0
2020-05-26,62,119,4,0,0,22,16,0
2020-05-25,63,125,3,0,0,21,8,0
2020-05-24,59,115,3,0,0,22,16,0
2020-05-23,60,112,2,1,0,22,21,0
2020-05-22,60,123,1,1,0,20,24,0
2020-05-21,59,117,1,3,0,21,20,0
2020-05-20,60,110,3,3,0,22,15,0
2020-05-19,53,116,5,2,0,21,18,0
2020-05-18,58,118,3,2,0,21,7,0
2020-05-17,57,111,2,2,0,21,13,0
2020-05-16,58,101,2,3,0,20,27,0
2020-05-15,60,103,2,3,0,20,23,0
2020-05-14,62,101,3,3,0,20,35,0
2020-05-13,65,96,4,4,0,19,26,0
2020-05-12,64,96,3,4,0,18,31,0
2020-05-11,60,106,3,4,0,19,17,0
2020-05-10,53,107,3,5,1,18,17,0
2020-05-09,52,99,3,5,1,19,21,0
2020-05-08,49,109,3,6,1,19,14,0
2020-05-07,51,104,3,6,1,18,11,0
2020-05-06,54,101,3,5,1,18,18,0
2020-05-04,49,109,4,3,1,18,9,0
2020-05-03,50,102,3,4,1,17,17,0
2020-05-02,49,104,3,3,1,20,17,0
2020-05-01,50,95,3,2,1,20,11,0
2020-04-30,51,98,4,2,1,20,16,0
2020-04-29,52,95,5,2,1,21,14,0
2020-04-28,50,104,6,2,1,21,19,0
2020-04-27,52,101,6,3,1,21,15,0
2020-04-26,55,100,7,3,1,22,12,0
2020-04-25,55,96,7,3,1,22,23,0
2020-04-24,47,97,7,3,1,22,24,0
2020-04-23,50,100,7,3,1,20,20,0
2020-04-22,52,93,7,3,1,22,17,0
2020-04-21,52,94,6,2,1,22,11,0
2020-04-20,58,96,7,1,1,20,6,0
2020-04-19,59,91,7,1,1,20,14,0
2020-04-18,54,77,7,2,1,20,19,0
2020-04-17,54,77,7,2,1,19,24,0
2020-04-16,54,77,8,1,1,18,16,0
2020-04-15,53,83,8,1,1,19,20,0
2020-04-14,54,89,8,0,1,19,9,0
2020-04-13,54,85,9,0,1,19,13,0
2020-04-12,53,77,9,0,1,18,19,0
2020-04-11,55,74,7,2,1,17,16,0
2020-04-10,64,69,9,2,1,20,16,0
2020-04-09,66,72,9,2,1,20,24,0
2020-04-08,61,83,10,2,0,20,15,0
2020-04-07,64,79,10,1,0,17,14,0
2020-04-06,63,87,9,1,0,13,11,0
2020-04-05,67,83,9,0,0,14,13,0
2020-04-04,69,74,9,1,0,15,6,0
2020-04-03,68,85,10,1,0,14,15,0
2020-04-02,67,81,9,1,1,14,12,0
2020-04-01,66,83,9,2,0,14,21,0
2020-03-31,72,83,8,2,0,14,5,0
2020-03-30,79,69,8,2,0,14,2,0
2020-03-29,80,72,7,2,0,15,6,0
2020-03-28,74,81,7,2,0,15,8,0
