is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-07-20,46,47,43,54,27,12
2019-07-19,39,52,43,40,29,19
2019-07-18,37,54,36,39,31,15
2019-07-17,42,59,43,34,32,14
2019-07-16,52,42,44,36,27,13
2019-07-15,55,55,38,31,25,13
2019-07-14,29,66,40,27,30,13
2019-07-13,46,50,39,25,30,11
2019-07-12,58,46,39,27,28,11
2019-07-11,58,46,29,24,30,10
2019-07-10,48,62,23,25,33,7
2019-07-09,58,58,32,19,31,8
2019-07-08,49,56,32,21,33,8
2019-07-07,44,50,29,26,42,8
2019-07-06,52,39,33,37,32,7
2019-07-05,50,47,23,39,34,7
2019-07-04,58,61,14,46,29,6
2019-07-03,48,72,19,46,25,6
2019-07-02,67,59,25,46,18,5
2019-07-01,74,30,34,52,16,6
2019-06-30,39,50,43,53,25,5
2019-06-29,43,46,49,40,26,5
2019-06-28,31,69,41,37,25,4
2019-06-27,41,69,44,33,22,4
2019-06-26,62,51,37,32,22,4
2019-06-25,60,44,41,22,20,4
2019-06-24,44,59,44,27,17,5
2019-06-23,48,56,38,24,25,5
2019-06-22,63,41,39,24,24,4
2019-06-21,50,62,25,26,27,6
2019-06-20,46,58,33,28,22,6
2019-06-19,43,59,25,32,25,5
2019-06-18,75,35,29,30,25,5
2019-06-17,35,48,46,29,34,4
2019-06-16,47,51,35,30,33,4
2019-06-15,37,59,33,30,35,4
2019-06-14,55,43,29,29,34,5
2019-06-13,45,57,17,27,30,5
2019-06-12,61,43,23,33,25,5
2019-06-11,52,59,25,36,24,5
2019-06-10,82,27,32,33,18,5
2019-06-09,32,57,35,35,22,13
2019-06-08,38,51,34,33,21,13
2019-06-07,48,41,38,27,22,13
2019-06-06,53,40,31,31,18,14
2019-06-05,36,49,37,24,16,15
2019-06-04,38,47,36,24,16,14
2019-06-03,59,42,38,18,15,13
2019-06-02,44,38,36,28,17,14
2019-06-01,45,50,26,32,10,13
2019-05-31,55,58,20,33,10,12
2019-05-30,56,49,18,29,11,12
2019-05-29,60,33,24,25,13,12
2019-05-28,68,38,27,31,12,13
2019-05-27,53,48,32,26,13,14
2019-05-26,37,53,31,28,14,14
2019-05-25,59,44,35,18,14,14
